"location_name","meal_type","item_name","dietary_traits","serving_size","calories","total_fat","saturated_fat","trans_fat","cholesterol","sodium","total_carbohydrate","dietary_fiber","total_sugars","protein","calcium","iron","potassium"
"Gordon Avenue Market","breakfast","Banana Bread (VN)","wheat, corn","1 each","190","7g","0.5g","0g","0mg","176mg","31g","1g","15g","2g","4mg","0.9mg","77mg"
"Gordon Avenue Market","breakfast","Popcake Pancake","dairy, egg, wheat","1 each","42","0.6g","0.3g","0g","9mg","31mg","8g","0g","3g","1g","81mg","0.4mg","0mg"
"Gordon Avenue Market","breakfast","Egg (JUST) Scrambled","soy, corn","1 4 oz","244","19g","0.3g","0g","0mg","467mg","3g","0g","0g","15g","0mg","0mg","88mg"
"Gordon Avenue Market","breakfast","Make Your Own Waffle w/Fruit & Cream","dairy, egg, wheat","1 12 oz","580","20g","11g","0g","50mg","1171mg","89g","1g","24g","7g","507mg","4.7mg","18mg"
"Gordon Avenue Market","breakfast","Scrambled Egg Whites","egg","1 6 oz","141","5g","0.4g","0g","0mg","273mg","0g","0g","0g","18g","0mg","0mg","0mg"
"Gordon Avenue Market","breakfast","Scrambled Eggs","egg, corn","1 4 oz","253","19g","4.6g","0g","600mg","200mg","1g","0g","1g","19g","0mg","0mg","172mg"
"Gordon Avenue Market","breakfast","Pancakes (1)","dairy, egg, wheat","1 serving","194","10g","4.7g","0g","87mg","456mg","22g","1g","4g","6g","55mg","1.1mg","62mg"
"Gordon Avenue Market","breakfast","Hard Cooked Egg","egg","1 each","45","2.8g","1.1g","0g","118mg","45mg","0g","0g","0g","4g","23mg","0.6mg","0mg"
"Gordon Avenue Market","breakfast","Potato Rounds","soy, corn","1 3 oz","209","14g","2.1g","0g","0mg","386mg","20g","1g","0g","2g","9mg","0.6mg","273mg"
"Gordon Avenue Market","breakfast","Bacon","","1 2 slice","79","6g","2.6g","0g","18mg","291mg","0g","0g","0g","5g","0mg","0mg","0mg"
"Gordon Avenue Market","breakfast","Turkey Sausage Links","corn","1 2 each","109","8g","2g","0g","40mg","288mg","1g","0g","1g","10g","20mg","1mg","308mg"
"Gordon Avenue Market","breakfast","Veggie Sausage Patties (VN)","wheat, soy, corn","1 2","200","10g","0g","0g","0mg","820mg","10g","4g","2g","18g","80mg","2.9mg","420mg"
"Lowell Market","breakfast","Glazed Ring Donut","dairy, egg, wheat","1 each","270","12g","5g","0g","0mg","280mg","37g","1g","18g","4g","10mg","1.3mg","50mg"
"Lowell Market","breakfast","Old Fashioned Cake Donut","dairy, egg, wheat","1 2 oz","314","23g","11g","0g","10mg","223mg","25g","0g","N/A","2g","20mg","1.5mg","51mg"
"Lowell Market","breakfast","Muffin Mini Double Chocolate","dairy, egg, wheat","1 each","85","3.8g","0.8g","0g","11mg","58mg","12g","1g","7g","1g","13mg","0.3mg","55mg"
